"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N24715",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N24729",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N247JB",2006,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N247NN",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N247WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N248WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N249JB",2006,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N249WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N250WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N251WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N252WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N253WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N254WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N255WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N256NN",2017,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N256WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N257NN",2017,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N257WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N258JB",2006,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N258NN",2017,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N258WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N259NN",2017,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N259WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N260AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N260NN",2017,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N260WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N261NN",2017,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N261WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N26215",1998,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N26232",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N262NN",2017,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N262WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N263AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N263NN",2017,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N264AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N264LV",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N264NN",2018,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N265AK",2016,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N265JB",2006,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N265WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N266AK",2016,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N266JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N266NN",2018,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N266WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N267JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N267NN",2018,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N267WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N268AK",2017,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N268NN",2018,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N268WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N269NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N269WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N270NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N271LV",NA,"Fixed wing multi engine","BOEING","737-705",2,149,0,"Turbo-fan"
"N271NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N27246",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N272AK",2017,"Fixed wing multi engine","BOEING","737-900ER",2,222,0,"Turbo-fan"
"N272NN",2019,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N272PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
